index;datetime;Consommation;ndf;ngie;cnr;gazel
5568;2019-02-28 00:00:00;79355.46645557154;30956.687562120518;11039.88210075395;0.0;37358.89679269707
5572;2019-02-28 01:00:00;74512.21636795439;29067.328373090757;10366.092224139778;0.0;35078.795770723846
5576;2019-02-28 02:00:00;73628.27235248854;28722.500474882854;10243.118494032935;0.0;34662.653383572746
5580;2019-02-28 03:00:00;71126.5200094363;27746.563099667113;9895.076296737747;0.0;33484.88061303143
5584;2019-02-28 04:00:00;68804.10019326274;26840.583614591396;9571.982726701646;0.0;32391.533851969696
5588;2019-02-28 05:00:00;69258.15488897685;27017.711038562935;9635.150527634225;0.0;32605.293322779682
5592;2019-02-28 06:00:00;74088.68635766643;28902.108675100495;10307.170998059808;0.0;34879.406684506124
5596;2019-02-28 07:00:00;82662.30737673871;32246.69121009252;11499.927709786734;0.0;38915.688456859454
5600;2019-02-28 08:00:00;86200.62716238758;33626.995113422556;11992.176511451813;0.0;40581.455537513204
5604;2019-02-28 09:00:00;87590.77221117055;34169.29280082002;12185.572607864442;0.0;41235.90680248609
5608;2019-02-28 10:00:00;86991.72525968219;33935.603678437394;12102.233576381965;0.0;40953.88800486283
5612;2019-02-28 11:00:00;85864.85562269985;33496.01012762848;11945.464188073101;0.0;40423.381306998264
5616;2019-02-28 12:00:00;86510.96146422019;33748.05699423223;12035.350022453353;0.0;40727.554447534596
5620;2019-02-28 13:00:00;85936.0798886942;33523.794821584794;11955.372862729191;0.0;40456.91220438021
5624;2019-02-28 14:00:00;83511.91112110013;32578.12291657148;11618.124043184389;0.0;39315.664161344255
5628;2019-02-28 15:00:00;81488.37884972437;31788.73991506246;11336.611518580095;0.0;38363.02741608181
5632;2019-02-28 16:00:00;79743.3843328623;31108.014913132618;11093.848989505872;0.0;37541.52043022381
5636;2019-02-28 17:00:00;78625.41772912924;30671.894449068237;10938.318185529019;0.0;37015.205094531986
5640;2019-02-28 18:00:00;80414.92741223778;31369.984884720776;11187.273636263299;0.0;37857.66889125371
5644;2019-02-28 19:00:00;88515.41580720461;34529.99766700296;12314.208437774765;0.0;41671.20970242688
5648;2019-02-28 20:00:00;87896.01906543213;34288.37006063281;12228.038356390545;0.0;41379.610648408765
5652;2019-02-28 21:00:00;82606.34545345743;32224.86037912684;11492.142322556949;0.0;38889.342751773635
5656;2019-02-28 22:00:00;78592.34931991757;30658.994412588516;10933.717729438691;0.0;36999.63717789036
5660;2019-02-28 23:00:00;81749.11053773947;31890.45174115256;11372.884345446142;0.0;38485.774451140765
